Raison sociale;SIRET;Code NAF;Libellé NAF;Région;Date de labellisation;Date de fin de labellisation;Univers;geolocetablissement
COLLECTIONS CHARLES PAGET;49223129500022;46.47Z;Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage;BOURGOGNE-FRANCHE-COMTÉ;2024-03-17;2029-03-15;Ameublement et Décoration;46.606518, 5.113533
ATELIER MIDAVAINE;64204687400011;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2024-03-18;2029-03-16;Ameublement et Décoration;48.877842, 2.293572
ATELIER ANTOINE VAUTIER;50380333000011;95.24Z;Réparation de meubles et d’équipements du foyer (95.24Z);PAYS-DE-LA-LOIRE;2024-03-26;2029-03-24;Ameublement et Décoration;47.216296, -1.559689
SARL ROSINI;44370858100014;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);ILE-DE-FRANCE;2024-04-11;2029-04-09;Culture et Communication;45.595635, 1.403664
AU LIEGEUR ETS J. PONTNEAU DENIS;66205338800028;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";NOUVELLE AQUITAINE;2024-04-12;2029-04-10;Arts de la table;43.750764, -1.331638
SOCIETE NOUVELLE CORNU EMBALLEURS;51852694200041;16.24Z;Fabrication d’emballages en bois (16.24Z);ILE-DE-FRANCE;2024-04-26;2029-04-24;Equipements Industriels, Médicaux, Mécaniques;48.946231, 2.486016
LA MICALINE AGRO;84229673300020;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;PROVENCE-ALPES-COTE D'AZUR;2024-11-28;2029-11-26;Gastronomie;44.036922, 4.979061
MOULINAGE ET RETORDERIE DE L'OISE;69578105400017;13.10Z;Préparation de fibres textiles et filature;HAUTS-DE-FRANCE;2025-01-29;2030-01-27;Equipements Industriels, Médicaux, Mécaniques;49.21936910785107, 2.28308532273802
BOBIN TRADITION;51402528700020;13.30Z;Ennoblissement textile;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.771409940730024, 2.494852523290848
SOC DANIEL H PIAT;32617042000045;46.48Z;Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.86972816535241, 2.3313068097904766
PIGANIOL S.A.S;34523885100017;32.99Z;Autres activités manufacturières n.c.a.;AUVERGNE-RHÔNE-ALPES;2025-03-27;2030-03-25;Mode et beauté;48.878145, 2.337392
ATELIER MOURA;50856286500016;18.14Z;Reliure et activités connexes;Auvergne-Rhône-Alpes;2025-04-21;2030-04-19;Culture et Communication;45.75436940540357, 4.833220484657284
Azaïs et Polito;63268030200031;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques (10.20Z);OCCITANIE;2025-05-19;2030-05-17;Gastronomie;43.41868339383786, 3.7028031687892575
TIFF& CO;48950156900011;1392Z;Fabrication d'articles textiles, sauf habillement;ILE-DE-FRANCE;2025-06-16;2030-06-14;Mode et beauté;48.86668045333707, 2.342276513579182
LAMBERT MANUFIL INDUSTRIES;79767203700018;24.34Z;Tréfilage à froid;PAYS-DE-LA-LOIRE;2025-03-25;2030-03-23;Equipements Industriels, Médicaux, Mécaniques;47.20907277497737, -1.7157923503842483
Saumonerie Granvillaise;45355766200013;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques (10.20Z);NORMANDIE;2019-08-30;2024-08-27;Gastronomie;47.26497, -0.100471
Bruno Metzger bottier;32704516700019;95.23Z;Réparation de chaussures et d'articles en cuir;GRAND-EST;2019-08-30;2024-08-27;Mode et beauté;48.57517955011442, 7.725894569121235
MONNET;39919590800013;14.31Z;Fabrication d’articles chaussants à mailles (14.31Z);BOURGOGNE-FRANCHE-COMTÉ;2019-12-23;2024-12-20;Mode et beauté;46.679813, 4.375737
GOBEL;38372454900019;25.99A;Fabrication d’articles métalliques ménagers (25.99A);CENTRE-VAL-DE-LOIRE;2019-12-23;2024-12-20;Arts de la table;47.354089, 0.673299
HÔTEL LE BRISTOL;57204775100019;55.10Z;Hôtels et hébergement similaire (55.10Z);ILE-DE-FRANCE;2019-12-23;2024-12-20;Architecture et Patrimoine Bâti;48.872167328247926, 2.3149569791085267
ETS DELORD FRÈRES;39652001700015;11.01Z;Production de boissons alcooliques distillées (11.01Z);OCCITANIE;2020-02-20;2025-02-17;Gastronomie;43.800029, 0.225552
ALPHA VOLUMES;37932187000014;71.12B;Ingénierie, études techniques (71.12B);ILE-DE-FRANCE;2020-03-16;2025-03-14;Equipements Industriels, Médicaux, Mécaniques;48.865367, 2.364047
TURRINI INTERNATIONAL;84932432200023;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);BRETAGNE;2020-07-30;2025-07-28;Ameublement et Décoration;47.824676, -3.409663
GROIX ET NATURE;35070621400037;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques (10.20Z);BRETAGNE;2020-10-01;2025-09-29;Gastronomie;47.643545, -3.453329
OCCITANIE PIERRES;39050091600015;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);OCCITANIE;2021-05-31;2026-05-29;Equipements Industriels, Médicaux, Mécaniques;44.462999, 1.453143
ETS DREVELLE;41095455600016;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Ameublement et Décoration;45.695913, -0.331148
TMH;43777664400035;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Architecture et Patrimoine Bâti;44.778421, -0.53173
PROMONT (RANNOU-METIVIER);33235831600013;10.72Z;Fabrication de biscuits, biscottes et pâtisseries de conservation (10.72Z);NOUVELLE AQUITAINE;2021-09-22;2026-09-20;Gastronomie;49.00460241888734, 2.350005679161512
MERLOT;34930618300014;43.91B;Travaux de couverture par éléments (43.91B);CENTRE-VAL-DE-LOIRE;2021-10-28;2026-10-26;Architecture et Patrimoine Bâti;47.067837, 0.323731
COOPER OLEICOLE L OULIBO;77576866600015;10.41A;Fabrication d’huiles et graisses brutes (10.41A);OCCITANIE;2022-02-15;2027-02-13;Gastronomie;43.299773, 2.870646
PONSON*/DAVID  /;44249464700013;25.71Z;Fabrication de coutellerie (25.71Z);AUVERGNE-RHÔNE-ALPES;2022-03-23;2027-03-21;Arts de la table;45.824486, 1.267457
SAUMUR BOTTERIE;35361984400015;15.20Z;Fabrication de chaussures (15.20Z);PAYS-DE-LA-LOIRE;2022-03-31;2027-03-29;Mode et beauté;45.87771, 3.623654
BROSSERIE JULIO;87080004200026;32.91Z;Fabrication d’articles de brosserie (32.91Z);PAYS-DE-LA-LOIRE;2022-03-31;2027-03-29;Equipements Industriels, Médicaux, Mécaniques;47.283595, -1.542501
ATELIER FERAUD;35320403500029;43.32B;Travaux de menuiserie métallique et serrurerie (43.32B);PROVENCE-ALPES-COTE D'AZUR;2022-06-21;2027-06-19;Architecture et Patrimoine Bâti;44.080129, 4.972691
LA COMPAGNIE D ANCONE (ANDRE BOYER);41375024100056;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie (10.82Z);AUVERGNE-RHÔNE-ALPES;2022-06-29;2027-06-27;Gastronomie;44.547585, 4.795157
MEERT TRADITION;38116434200010;10.71D;Pâtisserie (10.71D);HAUTS-DE-FRANCE;2022-10-06;2027-10-04;Gastronomie;50.637776, 3.061879
CHÂTEAU HAUT-BAILLY;41960144800022;01.21Z;Culture de la vigne (01.21Z);NOUVELLE AQUITAINE;2022-10-13;2027-10-11;Gastronomie;44.727908, -0.588766
LES ATELIERS BUGUET FILS SAS;39393123300034;43.91A;Travaux de charpente;GRAND-EST;2022-11-10;2027-11-08;Architecture et Patrimoine Bâti;48.447871, 5.156563
ETABLISSEMENTS BULLIER;49678049500016;32.91Z;Fabrication d’articles de brosserie (32.91Z);BRETAGNE;2022-11-28;2027-11-26;Equipements Industriels, Médicaux, Mécaniques;48.51102, -2.774464
LA MAISON DU PASTEL;43218012300015;20.30Z;Fabrication de peintures, vernis, encres et mastics;ILE-DE-FRANCE;2023-02-02;2028-01-31;Equipements Industriels, Médicaux, Mécaniques;48.860908, 2.354619
SAS INVELAC - RELIURES DEVEL - IMPRIMERIE FANLAC;38820748200026;22.2C;Autre imprimerie (labeur);NOUVELLE AQUITAINE;2023-02-23;2028-02-21;Equipements Industriels, Médicaux, Mécaniques;46.590825, 0.389345
SARL CHICOREE DU NORD;33383300200012;10.83Z;Transformation du thé et du café (10.83Z);HAUTS-DE-FRANCE;2023-07-17;2028-07-14;Gastronomie;43.775458, 7.503738
PETIT BATEAU;54288012500019;14.14Z;Fabrication de vêtements de dessous (14.14Z);GRAND-EST;2023-07-21;2028-07-18;Mode et beauté;48.303809, 4.056379
RELTEX;07050345300030;15.20Z;Fabrication de chaussures (15.20Z);AUVERGNE-RHÔNE-ALPES;2023-08-16;2028-08-13;Mode et beauté;48.91169, 2.549918
TEXAA;31487044500033;22.21Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques (22.21Z);NOUVELLE AQUITAINE;2023-09-27;2028-09-24;Ameublement et Décoration;44.777741, -0.640254
MAONIA;43436932800035;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2023-10-26;2028-10-23;Ameublement et Décoration;48.849694, 2.380059
SARL STAFF PASSION;51213162400011;43.31Z;Travaux de plâtrerie (43.31Z);PROVENCE-ALPES-COTE D'AZUR;2023-11-22;2028-11-19;Architecture et Patrimoine Bâti;47.513959, -0.376695
SOCIETE NOUVELLE JANVIER GRUSON PRAT;42193187400042;32.13Z;Fabrication d’articles de bijouterie fantaisie et articles similaires (32.13Z);ILE-DE-FRANCE;2024-03-18;2029-03-16;Mode et beauté;48.860977, 2.361456
CAMILLE ORFEVRE;53925592700029;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2024-04-11;2029-04-09;Arts de la table;48.867759, 2.356556
L'ATELIER VENDOME;53467266200036;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2024-04-11;2029-04-09;Mode et beauté;48.868934, 2.335161
SCI DU CHATEAU RAUZAN-GASSIES;78193734700016;01.21Z;Culture de la vigne (01.21Z);NOUVELLE AQUITAINE;2024-04-12;2029-04-10;Gastronomie;46.655, -0.735294
LUCAL;38749072500026;32.50B;Fabrication de lunettes (32.50B);AUVERGNE-RHÔNE-ALPES;2024-06-17;2029-06-15;Mode et beauté;46.269104, 5.609424
DIMAHOR DIFF MATERIEL HORLOGER;31096681700036;95.25Z;Réparation d'articles d'horlogerie et de bijouterie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.80822245111818, 2.1319683096186606
FARO;31328418400022;24.51Z;Fonderie de fonte;NOUVELLE AQUITAINE;2025-04-02;2030-03-31;Equipements Industriels, Médicaux, Mécaniques;44.31581847139743, 0.08213308068600304
CONSERVES GUINTRAND;38083371500010;10.39B;Transformation et conservation de fruits;PROVENCE-ALPES-COTE D'AZUR;2025-04-10;2030-04-08;Gastronomie;44.047095, 5.047013
USINE GALLIA;55368013300012;13.96Z;Fabrication d'autres textiles techniques et industriels;Auvergne-Rhône-Alpes;2025-04-21;2030-04-19;Mode et beauté;45.5007463680906, 5.147798080765244
RESSOURCE MARCHAND DE COULEURS DECORATION;41488506100146;47.52A;Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2);OCCITANIE;2025-06-11;2030-06-09;Ameublement et Décoration;43.95989908332541, 4.759061128768978
LA FORGE DE STYLE FRANCE;95394146500015;43.39Z;Autres travaux de finition;PAYS-DE-LA-LOIRE;2025-06-24;2030-06-22;Architecture et Patrimoine Bâti;47.12284741782907, -1.0040994765628626
AU NAIN COUTELIERS;77563592300045;25.71Z;Fabrication de coutellerie;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;"Arts de la table;Coutellerie";45.87985760671026, 3.592356799269163
ATELIER JHP;53012176300011;25.73B;Fabrication d'autres outillages;PAYS-DE-LA-LOIRE;2025-03-25;2030-03-23;Arts de la table;47.31938830849091, -2.295174861645441
CALVADOS ROGER GROULT;30446484500011;11.01Z;Production de boissons alcooliques distillées (11.01Z);NORMANDIE;2019-12-23;2024-12-20;Gastronomie;49.048136, 0.286368
BONBONS VERDIER SARL;32151307900020;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;NOUVELLE AQUITAINE;2020-02-20;2025-02-17;Gastronomie;43.374656, -0.364811
LABORATOIRE DU SOLVIREX;56209389800012;20.41Z;Fabrication de savons, détergents et produits d’entretien (20.41Z);ILE-DE-FRANCE;2020-02-20;2025-02-17;Mode et beauté;48.818854, 2.310091
FRANÇOIS LE DRUILLENNEC;39848286900029;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2020-02-20;2025-02-17;Mode et beauté;45.566546, 5.920251
SELMO JELEN;64203597600066;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);HAUTS-DE-FRANCE;2020-03-16;2025-03-14;Mode et beauté;49.754983, 0.387174
TERRES CUITES D'OCCITANIE (EX BRIQUETERIE BOUISSET);32146002400011;23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite (23.32Z);OCCITANIE;2020-07-03;2025-07-01;Architecture et Patrimoine Bâti;43.465905, 2.525738
SELLERIE DU PILAT;33930000600048;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);AUVERGNE-RHÔNE-ALPES;2020-07-03;2025-07-01;Ameublement et Décoration;45.401156034444305, 1.386490454866519
TOURAINE RADIATEURS;82193505300016;33.17Z;Réparation et maintenance d’autres équipements de transport (33.17Z);CENTRE-VAL-DE-LOIRE;2020-07-03;2025-07-01;Equipements Industriels, Médicaux, Mécaniques;47.1349, 0.986278
MAISON VIEILLARD AUX ARMES D'AUVERGNE ET DE BOULOGNE;85820076900041;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;AUVERGNE-RHÔNE-ALPES;2020-07-30;2025-07-28;Gastronomie;45.757523, 3.148555
CREA DIFFUSION;34842716200030;22.23Z;Fabrication d’éléments en matières plastiques pour la construction (22.23Z);GRAND-EST;2020-10-01;2025-09-29;Architecture et Patrimoine Bâti;48.971457149888465, 6.299475373044866
DUPON;33782557400029;74.20Z;Activités photographiques (74.20Z);ILE-DE-FRANCE;2020-10-01;2025-09-29;Culture et Communication;48.891315, 2.331004
POTEL ET CHABOT;55204375400019;56.21Z;Services des traiteurs (56.21Z);ILE-DE-FRANCE;2021-09-22;2026-09-20;Gastronomie;50.029916, 3.288197
EAU DE MÉLISSE DES CARMES;81757819800019;20.42Z;Fabrication de parfums et de produits pour la toilette (20.42Z);ILE-DE-FRANCE;2021-11-23;2026-11-21;Mode et beauté;48.85414, 2.335352
MAMIAS;56820051300030;33.13Z;Réparation de matériels électroniques et optiques (33.13Z);ILE-DE-FRANCE;2022-05-12;2027-05-10;Architecture et Patrimoine Bâti;48.890513, 2.593646
LES TOILES DU SOLEIL;39377064900019;13.20Z;Tissage (13.20Z);OCCITANIE;2022-06-03;2027-06-01;Ameublement et Décoration;42.38434, 2.611727
ATELIERS BERNARD PICTET;38396819500016;23.12Z;Façonnage et transformation du verre plat (23.12Z);ILE-DE-FRANCE;2023-02-02;2028-01-31;Ameublement et Décoration;48.864608, 2.371941
DOMAINE CHÂTEAU DE FONTPINOT SAS;90572035500023;11.01Z;Production de boissons alcooliques distillées (11.01Z);NOUVELLE AQUITAINE;2023-02-23;2028-02-21;Gastronomie;45.587145, -0.258019
ATELIERS BRUGIER CALEX;58202710800023;95.24Z;Réparation de meubles et d’équipements du foyer (95.24Z);ILE-DE-FRANCE;2023-05-05;2028-05-02;Ameublement et Décoration;48.847627, 2.318554
DEMEURE;79749765800030;18.12Z;Autre imprimerie (labeur) (18.12Z);HAUTS-DE-FRANCE;2023-06-26;2028-06-23;Equipements Industriels, Médicaux, Mécaniques;50.691343, 3.153232
ASSELIN SAS;32621613200018;43.32A;Travaux de menuiserie bois et PVC (43.32A);NOUVELLE AQUITAINE;2023-06-29;2028-06-26;Architecture et Patrimoine Bâti;46.987965, -0.217703
COMITEC;33803903500021;32.50B;Fabrication de lunettes (32.50B);ILE-DE-FRANCE;2023-07-12;2028-07-09;Mode et beauté;48.963208, 2.91705
Cristallerie de Montbronn;30985674800012;23.13Z;Fabrication de verre creux (23.13Z);GRAND-EST;2023-07-24;2028-07-21;Arts de la table;48.992925, 7.303241
Etablissement Saunion;30410361700011;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;NOUVELLE AQUITAINE;2023-07-25;2028-07-22;Gastronomie;44.843911, -0.578471
Société nouvelle de Conservation et de Restauration Archéologique (SN SOCRA);37890643200026;74.90B;Activités spécialisées, scientifiques et techniques diverses (74.90B);NOUVELLE AQUITAINE;2023-09-27;2028-09-24;Architecture et Patrimoine Bâti;45.194687, 0.665306
Atelier A² Sarl;51919223100016;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);NOUVELLE AQUITAINE;2023-11-15;2028-11-12;Ameublement et Décoration;45.95642499862231, 2.167208882250101
SEGUIN MOREAU;90592001300026;16.24Z;Fabrication d’emballages en bois (16.24Z);NOUVELLE AQUITAINE;2024-04-12;2029-04-10;Equipements Industriels, Médicaux, Mécaniques;48.806247, 2.404645
TERH MONUMENTS HISTORIQUES;39774363400032;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);NORMANDIE;2024-04-22;2029-04-20;Architecture et Patrimoine Bâti;49.107395, 1.498803
ECALE METALLERIE;75245111200029;25.50A;"Forge, estampage, matriçage ; métallurgie des poudres";NOUVELLE AQUITAINE;2024-10-28;2029-10-26;Architecture et Patrimoine Bâti;46.659215, 0.083315
ATELIER TRADITIONNEL DU VIMEU;41187319300030;28.14Z;Fabrication d'autres articles de robinetterie;HAUTS-DE-FRANCE;2025-01-15;2030-01-13;Ameublement et Décoration;50.08664037012553, 1.5422086685257035
ATELIER DU BRACELET PARISIEN;41187154400028;15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.86682106500045, 2.3322620672933603
UNDOSTRIAL;48995200200025;32.50B;Fabrication de lunettes;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.88611340360161, 2.366919378380317
VOILERIE KLEIN;49520273100016;1392Z;Fabrication d'articles textiles, sauf habillement;NOUVELLE AQUITAINE;2025-05-26;2030-05-24;Ameublement et Décoration;46.147802965335615, -1.160603461991602
Creanog;39517821300025;18.12Z;Autre imprimerie (labeur) (18.12Z);ILE-DE-FRANCE;2019-08-30;2024-08-27;Culture et Communication;48.849350723187314, 2.3720527501030717
PERRIN SA;72682038400014;14.13Z;Fabrication de vêtements de dessus (14.13Z);BOURGOGNE-FRANCHE-COMTÉ;2019-12-23;2024-12-20;Mode et beauté;46.667596, 4.363815
DENIS ET FILS;85780155900033;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);PAYS-DE-LA-LOIRE;2020-02-20;2025-02-17;Ameublement et Décoration;47.077036, -1.241139
CAFFET ET CIE;95028337400037;10.71D;Pâtisserie (10.71D);GRAND-EST;2020-03-16;2025-03-14;Gastronomie;48.296146, 4.072046
VIME DISPLAY;80804674200017;46.69C;Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les ,services (46.69C);ILE-DE-FRANCE;2021-07-15;2026-07-13;Mode et beauté;48.843641, 2.40888
ENTREPRISE GAUTHIER;33662001800018;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);AUVERGNE-RHÔNE-ALPES;2021-07-28;2026-07-26;Architecture et Patrimoine Bâti;45.254654, 4.781535
FONDERIE HELICIA;78950814000017;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);CENTRE-VAL-DE-LOIRE;2021-10-28;2026-10-26;Equipements Industriels, Médicaux, Mécaniques;46.850708, 1.539567
HASPOLO;47767341200029;14.13Z;Fabrication de vêtements de dessus (14.13Z);PAYS-DE-LA-LOIRE;2021-11-10;2026-11-08;Mode et beauté;47.02900796738451, -0.9370505603775419
CHARTREUSE DIFFUSION;07050048300014;46.34Z;Commerce de gros (commerce interentreprises) de boissons (46.34Z);AUVERGNE-RHÔNE-ALPES;2021-11-21;2026-11-19;Gastronomie;45.362168767799005, 5.59792741106015
SOCIETE INDUSTRIELLE DE LACANCHE;32457827700018;27.51Z;Fabrication d’appareils électroménagers (27.51Z);BOURGOGNE-FRANCHE-COMTÉ;2022-04-04;2027-04-02;Equipements Industriels, Médicaux, Mécaniques;47.074931, 4.559776
POL ROGER ET COMPAGNIE SA;09575011300029;11.02A;Fabrication de vins effervescents (11.02A);GRAND-EST;2022-05-17;2027-05-15;Gastronomie;50.102329, 1.532412
TONNELLERIE ANA SELECTION;41497934400044;46.73A;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (46.73A);OCCITANIE;2022-06-03;2027-06-01;Equipements Industriels, Médicaux, Mécaniques;43.311695, 0.359862
A S BOIS;39850720200016;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";BOURGOGNE-FRANCHE-COMTÉ;2022-07-29;2027-07-27;Ameublement et Décoration;46.398935, 5.446343
ETABLISSEMENTS GOUVERNEUR-AUDIGIER;64715011900012;32.50B;Fabrication de lunettes (32.50B);BOURGOGNE-FRANCHE-COMTÉ;2022-07-29;2027-07-27;Mode et beauté;46.525302, 6.021499
BRIQUETERIE CAPELLE;31887044100017;23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite (23.32Z);OCCITANIE;2022-10-10;2027-10-08;Equipements Industriels, Médicaux, Mécaniques;43.407642, 1.454154
LA QUIBERONNAISE;85650074900010;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques (10.20Z);BRETAGNE;2022-11-28;2027-11-26;Gastronomie;47.47671, -3.127399
ALSACE BEDDING;82029605100064;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2022-12-16;2027-12-14;Ameublement et Décoration;48.847099, 2.352555
TRICOTERIE DU VAL DE SAIRE;38792101800017;14.39Z;Fabrication d'autres articles à mailles;NORMANDIE;2023-05-05;2028-05-02;Mode et beauté;49.643863, -1.297954
ETS BODIN-JOYEUX;38370879900028;15.11Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures (15.11Z)";CENTRE-VAL-DE-LOIRE;2023-07-25;2028-07-22;Mode et beauté;46.981381, 1.614225
SOCIETE ENTREPRISE DEGAINE;56206287700021;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);ILE-DE-FRANCE;2023-10-26;2028-10-23;Architecture et Patrimoine Bâti;48.765711, 2.357679
BROSSERIE BRENET;30245200800014;32.91Z;Fabrication d’articles de brosserie (32.91Z);NOUVELLE AQUITAINE;2023-11-15;2028-11-12;Equipements Industriels, Médicaux, Mécaniques;46.330783, -0.421275
CHASSIS FRANCE;38171136500019;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";HAUTS-DE-FRANCE;2023-12-21;2028-12-18;Culture et Communication;49.624686, 3.224634
HERBEAU;78933862100012;28.14Z;Fabrication d’autres articles de robinetterie (28.14Z);HAUTS-DE-FRANCE;2023-12-21;2028-12-18;Ameublement et Décoration;50.646634, 3.008613
ATELIER HUGO DELAVELLE;53487171000032;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);BOURGOGNE-FRANCHE-COMTÉ;2024-01-16;2029-01-13;Ameublement et Décoration;47.570576, 6.637616
VUILLET VEGA;64595038700037;32.50B;Fabrication de lunettes (32.50B);BOURGOGNE-FRANCHE-COMTÉ;2024-01-16;2029-01-13;Mode et beauté;46.525512, 6.022955
LES ATELIERS DE CHANTELOUBE;45330054300015;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment;AUVERGNE-RHÔNE-ALPES;2024-06-18;2029-06-16;Architecture et Patrimoine Bâti;44.846125, 3.986633
ATELIER DES METAUX;47798205200011;25.72Z;Fabrication de serrures et de ferrures;BRETAGNE;2024-08-21;2029-08-19;Architecture et Patrimoine Bâti;48.447469, -1.987924
SIMMAD ESCALIERS;33021363800035;16.23Z;Fabrication de charpentes et d'autres menuiseries;NORMANDIE;2025-02-27;2030-02-25;Ameublement et Décoration;49.549651776615924, 1.0458182235581512
ATELIERS BCDL BALLU COLMET DAAGE LAAN ASSOCIES;32036651100014;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement;ILE-DE-FRANCE;2025-03-21;2030-03-19;Ameublement et Décoration;48.85514159629346, 2.374179480786454
LA MANUFACTURE ROYALE D'AUBUSSON;92253707100024;13.93Z;Fabrication de tapis et moquettes;Nouvelle-Aquitaine;2025-07-04;2030-07-02;Ameublement et Décoration;45.950127261044464, 2.1596456396750514
AM FACONS;45089816800015;14.13Z;Fabrication de vêtements de dessus;PAYS-DE-LA-LOIRE;2025-03-25;2030-03-23;Mode et beauté;47.006046, -1.102505
F. Cropsal (Maison Cassandrine);38933625600026;10.39B;Transformation et conservation de fruits;NOUVELLE AQUITAINE;2019-08-30;2024-08-27;Gastronomie;43.27249851142521, -0.2104123060795182
Atelier Laurence D;38540090800021;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);ILE-DE-FRANCE;2019-08-30;2024-08-27;Ameublement et Décoration;48.85079524645272, 2.3871471249629796
Rivets d'Art & d'Histoire;82930239700015;47.52A;Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²);ILE-DE-FRANCE;2019-08-30;2024-08-27;Ameublement et Décoration;48.929655, 2.342053
ARDOISIÈRE DES 7 PIEDS SARL;50885391800011;08.11Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise (08.11Z);AUVERGNE-RHÔNE-ALPES;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;46.181052, 6.71975
MASSON POLYFROID;64702009800016;29.20Z;Fabrication de carrosseries et remorques (29.20Z);GRAND-EST;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;49.16228, 5.880476
LYON SERTI;30148237800025;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2019-12-23;2024-12-20;Mode et beauté;45.771008, 4.837779
HORLOGES HUCHEZ;34371724500017;33.13Z;Réparation de matériels électroniques et optiques;HAUTS-DE-FRANCE;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;49.588346, 2.517295
LES TISSAGES PERRIN;40013503400025;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2020-02-20;2025-02-17;Mode et beauté;45.395865, 5.415916
MOD'LSCENE;45024175700027;14.13Z;Fabrication de vêtements de dessus (14.13Z);NOUVELLE AQUITAINE;2020-02-20;2025-02-17;Mode et beauté;43.64334109386253, -1.0781701313415708
ROMIGUIER ARTISANAT (LE SAC DU BERGER);38087096400018;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);OCCITANIE;2020-03-16;2025-03-14;Mode et beauté;45.789927, 5.456554
PAPETERIE DU POITOU;32578058300036;17.12Z;Fabrication de papier et de carton (17.12Z);NOUVELLE AQUITAINE;2020-03-16;2025-03-14;Equipements Industriels, Médicaux, Mécaniques;46.706347, 0.469794
DISTILLERIE LES FILS D'EMILE PERNOT;42311137600012;11.01Z;Production de boissons alcooliques distillées (11.01Z);BOURGOGNE-FRANCHE-COMTÉ;2020-10-01;2025-09-29;Gastronomie;46.908221, 6.349614
