﻿Thématique;Sous-thématique;Nom de l'Enquête;Description rapide;Producteur;Types de données;Maille d'étude;Lien;Niveau géographique;Périodicité;Variables;Types d'accès
Culture;PoI,Culture;Base des lieux et équipements culturels (Basilic);"Cette base géocodée des sites, lieux et équipements culturels est conçue et administrée par le département des études, de la prospective, des statistiques et de la documentation  du ministère de la Culture. Elle alimente notamment la base permanente des équipements de l’Insee et l'Atlas Culture des territoires.

Elle est réalisée par agrégation de différentes sources : bases de la direction générale des patrimoines et de l’architecture, de la direction générale de la création artistique, de la direction générale des médias et des industries culturelles, de la délégation générale à la transmission, aux territoires et à la démocratie culturelle, du Centre national du cinéma et de l'image animée, du Centre national du livre, du Centre national des arts du cirque, de la rue et du théâtre (Artcena), de la Médiathèque du patrimoine et de la photographie.";Ministère de la Culture;Base de données;Individuelle;https://data.culture.gouv.fr/explore/dataset/base-des-lieux-et-des-equipements-culturels/information/?disjunctive.type_equipement_ou_lieu&disjunctive.label_et_appellation&disjunctive.region&disjunctive.domaine&disjunctive.sous_domaines&disjunctive.departement&disjunctive.precision_equipement;National;Ponctuelle;;Open data
Tourisme durable;Energie;Open data ENEDIS;7 jeux de Données en open data fournies par Enedis au sujet de l'exploitation;ENEDIS;Base de données;;https://data.enedis.fr/pages/accueil/;Communal;Au fil de l'eau;"Nombre de mise en service sur installations existantes entreprises et PME-PMI ; indicateurs réglementaires sur la continuité d'alimentation ; Nombre des mises en service sur installation existantes résidentiel BT et Professionnel BT ; Fréquence moyenne de coupure par client HTA : durée moyenne de coupure par client HTA ; Fréquence moyenne de coupure par client BT ; durée moyenne de coupure par client BT";Open data
Economie;Fréquentation;Flux Vision: Offre Tourisme;Ces indicateurs indiquent la segmentation touristique, la fréquentation en journée et en nuitée, l'origine géographique par département pour les Français et par pays pour les internationaux et le lieux d'excursion..;Orange;Indicateurs;;https://www.orange-business.com/fr/solutions/data-intelligence-iot/flux-vision;Communal;Quotidienne;"segmentation touristique; fréquentation en journée et en nuitée; origine géographique; le lieu d'excursion";Limité
Economie;;Données géographiques IGN : Base de données géographiques produite par l'IGN;Ensemble de données géographiques de référence sur le territoire français, incluant des cartes topographiques, des modèles numériques de terrain, des données cadastrales et des images satellitaires.;Institut national de l'information géographique et forestière (IGN);Base de données;;https://geoservices.ign.fr/;National;Au fil de l'eau;Coordonnées géographiques, altitudes, classification des sols, tracés des infrastructures, limites administratives, usage des sols.;Open data
Tourisme durable;PoI,Littoral;GéoLittoral;Le portail cartographique de la planification de la mer et du littoral est un visualiseur de données géographiques qui rassemble les données les plus utiles pour la planification. Des outils pour croiser les données et produire ses propres cartes sont également disponibles.;Centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement (CEREMA);Données géographiques;Communale;https://www.geolittoral.developpement-durable.gouv.fr/;National;Au fil de l'eau;;Open data
Economie;Conjoncture,Immobilier;Demande de valeurs foncières (DVF);Le présent jeu de données « Demandes de valeurs foncières », publié et produit par la direction générale des finances publiques, permet de connaître les transactions immobilières intervenues au cours des cinq dernières années sur le territoire métropolitain et les DOM-TOM, à l’exception de l’Alsace, de la Moselle et de Mayotte. Les données contenues sont issues des actes notariés et des informations cadastrales;Direction générale des Finances publiques (DGFIP);Base de données;Individuelle;https://www.data.gouv.fr/fr/datasets/demandes-de-valeurs-foncieres/;National;Semestrielle;"adresse_suffixe ; adresse_code_voie ; adresse_nom_voie ; code_posta ; code_commune : nom_commune ; ancien_code_commune ; ancien_nom_commune ; code_departement ; id_parcelle ; ancien_id_parcelle ; numero_volume ; code_type_local ; type_local ; surface_reelle_bati ; nombre_pieces_principales : code_nature_culture ; nature_culture ; code_nature_culture_speciale ; nature_culture_speciale ; surface_terrain longitude latitude";Open data
Innovation et numérique;Start-up;My French Start Up;Données sur les start up (pas spécialement tourisme) en France;My French Start Up;Base de données;Individuelle (Startup);https://www.myfrenchstartup.com/fr/;Régional;Au fil de l'eau;"Startups; investisseurs; levées de fonds; écosystème régional; maturité; nombre d'emplois; défaillances; early-stage; type d'innovation; partenariats";Limité
Tourisme durable;Eau;DATAeau France;613 jeux de données en open data sur l'usage de l'eau en France;data.eau.france.fr;Base de données;;https://data.eaufrance.fr/;National;Au fil de l'eau;"Stations hydormétriques ; Masses d'eau de transition ; masses d'eau côtières ; sites hydrométriques ; masses d'eau cours d'eau ; sous-secteurs hydrographiques ; référentiels sources relatives aux ressources agricoles  ; laisse des eaux ; qualitomètres ; station de mesure ; etc.";Open data
Données de référence;PoI;Plan Cadastral;Le cadastre est un ensemble de plans et fichiers administratifs qui recensent toutes les propriétés immobilières situées dans chaque commune française, et qui en consigne la valeur afin de servir de base de calcul à certains impôts. Les données ouvertes à ce jour sont celles du plan cadastral : parcelles, sections, bâti et éléments d’habillage. Les fichiers des propriétés et des propriétaires ne sont pas concernés.;Direction générale des Finances publiques (DGFiP);Base de données;Communale;https://cadastre.data.gouv.fr/datasets;National;Au fil de l'eau;"subdivisions_fiscales; parcelles; lieux_dits; feuilles; sections; prefixes_sections; communes; batiments";Open data
Economie;Hébergement,Fréquentation;Enquête de Fréquentation des Hébergements collectifs (EFH);L'enquête de fréquentation dans les hébergements touristiques a pour objectif l'observation conjoncturelle de la fréquentation et l'étude de la structure de la clientèle, notamment de son origine géographique. Elle couvre trois types d’établissements : les hôtels, les campings et les autres hébergements collectifs de tourisme (auberges de jeunesse, centres internationaux de séjour, centres sportifs, résidences de tourisme et résidences hôtelières, maisons familiales de vacances et villages de vacances). Les informations sont produites au plan national, régional, voire infra-régional.;INSEE;Enquête;;https://www.insee.fr/fr/metadonnees/source/serie/s1039;Régional;Mensuelle;"caractéristiques de l'établissement ; les capacités d'accueil ; occupation quotidienne des chambres ou emplacements ; les arrivées et nuitées selon le pays de résidence des touristes ; la durée de séjour ; la proportion de tourisme d'affaires";Open data
Sport & JOP;Start-up;Sportech;Données sur une sélection de startups sporttech françaises;Collectif Sportech;Indicateurs,Dashboard;;https://www.sportechfr.com/;National;Au fil de l'eau;"Nombre de startups; CA cumulé; montant total de fonds levés; mapping";Open data
Transport;Vélo,PoI;Transports.data.gouv.fr - vélo et trotinettes en libre service;48 jeux de données contenant des flux d'information décrivant des flottes de vélo ou de trotinettes en libre service;transport.data.gouv;Base de données;Communale;https://transport.data.gouv.fr/datasets?type=bike-scooter-sharing;Communal;Au fil de l'eau;"Réseau Optymo ; Bilcoo ; Velo²; Velopop'; Vclub; VelôToulouse ; etc.";Open data
Transport;PoI;Transports.data.gouv.fr - lieux de mobilité;3 jeux de données. Cette catégorie regroupe des jeux de données décrivant des lieux d’intérêts relatifs à la mobilité comme les descriptions ou la position des arrêts de transports et gares.;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=locations;National;Au fil de l'eau;"Gares ferroviaires européennes ; Gares du réseau ferré national ;  Lieux de mobilité normands - NeTEx
Lieux de mobilité normands - NeTEx";Open data
Economie;PoI,Agenda local;Datatourisme (Open data);"DATAtourisme collecte les données produites par les acteurs touristiques institutionnels au niveau local au sein des systèmes d’information touristiques (SIT), soit plus de 40 bases de données. Il s’agit des offices de tourisme, des agences départementales et comités régionaux du tourisme, et de tout autre producteur de données touristiques publiques œuvrant à l’échelle territoriale ou nationale. À ce jour, plus de 413 000 données sont disponibles sur la plateforme DATAtourisme. Plus spécifiquement, les données portent sur les points d’intérêts à caractère touristique suivants :
-	événements culturels (concert, exposition…), sociaux (carnaval, fête traditionnelle…), commerciaux (marché, foire…), ou encore, sportifs (compétitions…)
-	lieux : sites culturels, sites naturels, restaurants, hébergements, transport, commerces…
-	produits : toutes les prestations immatérielles
-	itinéraires : parcours composés de plusieurs étapes.";ADN TOURISME;Base de données;Individuelle;https://www.datatourisme.fr/;Communal;Au fil de l'eau;"événements culturels (concert; exposition…); sociaux (carnaval; fête traditionnelle…); commerciaux (marché; foire…); sportifs (compétitions…); 
lieux : sites culturels; sites naturels; restaurants; hébergements; transport; commerces; produits : toutes les prestations immatérielles; itinéraires : parcours composés de plusieurs étapes.";Open data
Transport;Fréquentation,Voiture;Transports.data.gouv.fr - données routières;Les 5 jeux de données de cette catégorie décrivent le réseau routier et son état en temps réel (trafic, travaux, événements…).;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=road-data;National;Au fil de l'eau;"ROUTE 500® (IGN) ; Réseau de transport routier national métropolitain ; Passages à niveau du Réseau Ferré National ; Circulation en temps réel - Réseau routier non concédé ; Évènements routiers - Réseau routier non concédé";Open data
Tourisme social;Hébergement,Accessibilité;Application de gestion des marques nationales;Gestion des droits d'sage des marques Qualité Tourisme et Tourisme et Handicap : description des établissements, audits envisagés, organisatino des commissions, responses aux questionnaires de satisfaction;Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique (MEFSIN);Base de données;Individuelle;https://marques-tourisme.entreprises.gouv.fr/#/login;National;Au fil de l'eau;"marque; type d'hébergement date ; type d'évaluation; note; prénom du référent qualité; activité; filière; infors sur l'audit etc.";Limité
Culture;Fréquentation,Musée;Base de fréquentation des musées de France;Base de fréquentation des musées de France, qui recense la fréquentation des musées français chaque année depuis 2001 pour près de 25 000 musées. Cette base a été téléchargé près de 35 000 fois.;Ministère de la Culture;Base de données;Individuelle (musée);https://data.culture.gouv.fr/explore/dataset/frequentation-des-musees-de-france/information/?disjunctive.nomdep;National;Au fil de l'eau;"Musée; Fréquentation; date;";Open data
Culture;PoI,Musée;Liste et localisation des musées en France;"Liste officielle des institutions dotées de l'appellation ""Musée de France"" au sens du Code du patrimoine, actualisée au 25/01/2022. Cette liste est administrée par le Service des musées de France (direction générale des patrimoines et de l'architecture).
Elle est actualisée au moins une fois par an, en fonction des avis rendus par le Haut Conseil des musées de France, sur l'attribution, le changement ou le retrait de l'appellation ""Musée de France"".";Ministère de la Culture;Base de données;Individuelle (musée);https://data.culture.gouv.fr/explore/dataset/liste-et-localisation-des-musees-de-france/export/?disjunctive.region_administrative&disjunctive.departement;National;Au fil de l'eau;"Identifiant; Muséofile;  Région administrative; Département; Commune; Nom officiel du musée; Adresse; Lieu; Code Postal;Téléphone;URL;Latitude; Longitude; REF; Deps";Open data
Economie;National,International,Hébergement;Euro dashboard;Données nationales sur la digitalisation du secteur touristique dans l'UE, la décarbonation du secteur, les variables socio-économiques;Commission européenne;Dashboard;;https://tourism-dashboard.ec.europa.eu/?lng=en&ctx=tourism;National;Mensuelle;"Dépenses; hébergrement; HPA; national; europe";Open data
Données de référence;PoI;Panoramax;Panoramax est une ressource numérique permettant la mise en commun et l'utilisation de photos de terrain. Toute personne peut photographier des lieux visibles depuis la voie publique afin d’alimenter la base de données de Panoramax. Ces données sont ensuite librement accessibles et réutilisables.;Panoramax;Photographie;Infra-communale;L’alternative libre pour photo-cartographier les territoires;National;Au fil de l'eau;NA;Open data
Tourisme durable;Nature,Biodiversité;OpenObs;"Le projet OpenObs a pour objet la mise en place d’un outil web d’interrogation multicritères permettant la visualisation, l’exploration, la validation et le téléchargement de données d’observation d’espèces. Cet outil répond aux fonctions de la plateforme nationale du SINP en termes de diffusion de données.

Le projet OpenObs est piloté par PatriNat (OFB-CNRS-MNHN-IRD).
Il est basé techniquement sur le projet «  Atlas of Living Australia  », porté par la communauté GBIF, en particulier le collectif Living Atlases.";"Office français de la biodiversité(OFB); Centre national de la recherche scientifique (CNRS); Institut de recherche pour le développement (IRD); Muséum National d'Histoire Naturelle (MNHN)";Base de données;Individuelle;https://openobs.mnhn.fr/;National;Au fil de l'eau;;Open data
Tourisme durable;Energie;Open data ENEDIS;9 jeux de Données en open data fournies par Enedis au sujet de la mobilité électrique;ENEDIS;Base de données;;https://data.enedis.fr/pages/accueil/;Communal;Au fil de l'eau;"Puissance moyenne installée par point de charge par région et son évolution sur 12 mois (kVA) ; nombre de points de charges par typologie ; Puissance moyenne installée par point de charge par département et son évolution sur 12 mois (kVA) ; Nombre d epoints de charge ouverts au publis par 100 000 habitants par département et son évolution sur les 12 derniers mois ; Nombre d epoints de charge ouverts au publis par 100 000 habitants par région et son évolution sur les 12 derniers mois ; Trajectoire du nombre de points de charge ouverts au public ; Nombre total de points de charge ; Puissance installée totale ; Puissance installée par typologie";Open data
Tourisme durable;Energie,Hébergement;Mesure Diagnostic de Performance Energétique;Le Diagnostic de Performance Energétique (DPE) renseigne sur la performance énergétique et environnementale d’un logement ou d’un bâtiment, en évaluant sa consommation d’énergie et son impact en matière d’émissions de gaz à effet de serre. Le contenu et les modalités d’établissement du DPE sont réglementés.;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);Base de données;Individuelle (batîment);https://data.ademe.fr/datasets/dpe-v2-logements-existants;National;Annuelle;"Code commune; Code département type de DPE; Longitude; Lattitude; année de construction (ou estimation); Consommation en énergie par an; Date DPE; Méthode DPE";Open data
Tourisme durable;Energie,GES;API base carbone;Base de données publique de facteurs d'émissions, nécessaires pour la réalisation d'un bilan d'émission de GES;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);Base de données;;https://api.gouv.fr/les-api/api_base_carbone;National;Au fil de l'eau;"élément ; type d'éléments ; nom ; nom attribut ; code de la cétgorie ; tags ; unité ; source ; date de création ; date de modification ; URL ; localisation ; incertitude ; transparence ; qualité ; type de poste ; total poste non décomposé; CO2 ; CH4 ; NO2.";Open data
Economie;Fréquentation,Hébergement,International;Données tourisme OCDE;L'OCDE produit un certain nombre de bases de données relatives au tourisme, pour l'ensemble des pays de l'OCDE. On y retrouve des données relatives au nombre d'arrivées internationales, le nombre de voyages vers l'étranger, le type d'hébergement touristique fréquenté, les dépenses moyennes;Organisation de coopération et de développement économiques (OCDE);Base de données;Nationale;https://data.oecd.org/fr/resultatrecherche/?hf=20&b=0&q=Tourisme&l=fr&s=score;OCDE;Annuelle;"Tourisme recepteur;  Tourisme interne ; Entreprises et emploi dans le tourisme; Tourisme emetteur; indicateur clé du tourisme; Recette et dépense.";Open data
Economie;Hébergement touristique;Capacité touristique des communes;Ce fichier contient les principaux indicateurs sur les capacités des communes en hébergement touristique (hôtels, campings et autres hébergements collectifs). Il contient également la répartition des emplacements de campings selon qu'ils sont loués à l'année ou offerts à une clientèle de passage.;INSEE;Base de données;Communale;https://www.insee.fr/fr/statistiques/2021703;Communal;Annuelle;"Nombre d'hôtels en 2023 classés selon le nombre d'étoiles - France (hors Mayotte) ;
Nombre de chambres dans les hôtels en 2023 selon le nombre d'étoiles - France (hors Mayotte) ;
Nombre de terrains de camping classés selon le nombre d'étoiles en 2023 - France (hors Mayotte) ;
Nombre d'emplacements de camping selon le nombre d'étoiles en 2023 - France (hors Mayotte) ;";Open data
Autres données;Autres données;Api Google;Accès à l'ensemble des requetes Google;Google;API;;https://cloud.google.com/apis?hl=fr;International;Au fil de l'eau;;Limité
Economie;Immobilier,Conjoncture;Carte des tensions du logementau sens du Zonage A, B, C (Version à jour de la révision du zonage issue de l’arrêté du 02 octobre 2023);Défini à l’article D304-1 du code de la construction et de l’habitation, le zonage conventionnellement appelé ABC effectue un « classement des communes du territoire national en zones géographiques en fonction du déséquilibre entre l'offre et de la demande de logements ». Par ordre décroissant de tension, les zones géographiques sont : Abis, A, B1, B2 et C. La zone A bis est incluse dans la zone A, les zones B1 et B2 forment la zone B.;Ministère chargé du Logement;Base de données;Communale;https://www.ecologie.gouv.fr/zonage-b-c;National;Au fil de l'eau;"CODGEO; DEP; REG; LIBGEO; Zone en vigueur depuis le 2 octobre 2023 ; Reclassement (oct 2023)";Open data
Transport;PoI,Voiture;Transports.data.gouv.fr - stationnement hors voirie;3 jeux de données : Les données concernant le stationnement hors-voirie en France sont produites par différentes collectivités et gestionnaires de parking.;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=private-parking;National;Au fil de l'eau;"Base nationale des lieux de stationnement hors voirie ; Base nationale des parcs relais ; Parkings publics communautaires";Open data
Culture;PoI;Base Mérimée;Créée en 1978 et mise en ligne en 1995, Mérimée est une base de données du patrimoine monumental et architectural français de la Préhistoire à nos jours : architecture religieuse, domestique, agricole, scolaire, militaire, industrielle. En octobre 2020, elle regroupe plus de 320 000 notices;Ministère de la Culture;Photographie;Individuelle;https://www.pop.culture.gouv.fr/search/list?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D;National;Au fil de l'eau;"Région; Département; Commune_forme_editoriale; Denomination_de_l_edifice Precision_de_la_protection; Historique; Titre_editorial_de_la_notice; Precision_de_la_localisation; Adresse_forme_editoriale; Auteur_de_l_edifice; Adresse_forme_index; Commune_forme_index";Open data
Alimentation & Gastronomie;PoI,Label,Bio;Cartobio;Cartobio est un projet initié par l’Agence Bio et l’Institut National de l'Origine et de la Qualité (INAO), avec comme partenaires le Ministère de l’Agriculture et de l’Alimentation (MAA), le Ministère de la Transition Écologique (MTE) ainsi que l’incubateur Beta.gouv de la Direction du Numérique (DINUM);Agence française pour le développement et la promotion de l'agriculture biologique (Agence Bio);Base de données;;https://www.agencebio.org/vos-outils/cartobio/;National;Annuelle;;Open data
Innovation et numérique;Start-up,Investissements;Merger Market;Données sur les deals M&A tous secteurs confondus;Merger Market;Base de données;Individuelle (Startup);https://info.mergermarket.com/;International;Au fil de l'eau;"financement; deals M&A; prévision de deals; levée de fonds; droit";Limité
Autres données;PoI;API Open Street Map;OpenStreetMap est une base de données géographique collaborative, l'équivalent de Wikipédia pour la cartographie. On y trouve toutes sortes d'informations : routes, bâtiments, commerces, services publics... Il est simple de participer, mais pas si facile de télécharger des données d'une thématique spécifique sur son territoire. D'où cet assistant très simple ! Les données sont actualisées quotidiennement, et rendues disponibles aux formats CSV, GeoJSON, XSLX et Shapefile. Elles sont rendues compatibles avec les schémas de données nationaux lorsqu'ils existent, sinon selon les conventions d'OpenStreetMap.;Open Street Map;API,Base de données;;https://geodatamine.fr/;National;Au fil de l'eau;;Open data
Données de référence;PoI;Base Adresse Nationale;"La Base Adresse Nationale est une des neuf bases de données du service public des données de référence et a pour vocation de référencer l’ensemble des adresses du territoire national. Service numérique d’usage partagé et infrastructure socle sur laquelle sont adossées de nombreuses politiques publiques, elle fait partie du système d’information et de communication de l’État.

Sa construction est assurée grâce à de nombreux partenaires, et en premier lieu par les communes, seules autorités compétentes en terme d’adressage.

La Base Adresse Nationale est accessible sous forme de fichiers et d’API.";"Direction interministérielle du Numérique (DINUM); Agence nationale de la cohésion des territoires (ANCT); Institut national de l'information géographique et forestière (IGN)";Base de données;Individuelle;https://beta.gouv.fr/startups/ban.html;National;Au fil de l'eau;"id; id_fantoir; numero rep; nom_voie; code_postal;
code_insee; nom_commune; code_insee_ancienne_commune;
nom_ancienne_commune; x y lon lat; type_position;
nom_ld; libelle_acheminement nom_afnor; source_position;
source_nom_voie certification_commune; cad_parcelles";Open data
Culture;PoI;Panorama des festivals;"Panorama des festivals, salons et rencontres organisés en France : photographie des événements répertoriés en 2018. Ce jeu de données n'est plus mis à jour.

Ce panorama liste plusieurs milliers de manifestations et intègre aussi bien les festivals de spectacle vivant ou de cinéma que les salons, rencontres, biennales… existant dans le domaine des arts visuels, du livre, du patrimoine, etc.

Compte tenu du phénomène aussi foisonnant que celui des festivals dans notre pays, ce panorama n'est pas exhaustif. Il doit donc s'améliorer progressivement par des contributions extérieures.";Ministère de la Culture;Base de données;Individuelle (Festival);https://data.culture.gouv.fr/explore/dataset/panorama-des-festivals/information/;National;Au fil de l'eau;"Nom de la manifestation;Domaine;Complément domaine; Commune principale; Géocodage xy; Décennie de création du festival;Année de création du festival";Open data
Innovation et numérique;Start-up;Discover Global Tech Ecosystems;Données sur l'écosystème de starups par ville (utilise les données DealRoom);Start-up Genome;Dashboard;Communale;https://startupgenome.com/;Communal;Au fil de l'eau;"Levées de fonds; croissance des levées de fonds; comparaison avec la moyenne mondiale";Limité
Economie;Hôtellerie de plein air (HPA);Baromètre HPA (FTO);Baromètre HPA Observatoire en temps réel de la fréquentation et des volumes de réservation dans l'Hôtellerie de Plein Air en France, qui permet le suivi des nuitées produites et à venir dans la filière à l'échelle nationale, régionale et départementale. 1200 campings participants ont accepté de partager leurs données à France Tourisme Observation, de manière automatisée.;Atout France;Enquête,Dashboard;Individuelle (HPA);https://toucan-front.tourisme-datahub.fr/;National;Hebdomadaire;"classement des campings; capacité d’emplacement des campings; répartition géographique des campings (ETN; Région)";Limité
